tanggal,harga_cabai_merah,harga_cabai_rawit,suhu_rata,kelembaban,curah_hujan,lama_penyinaran,kec_angin,is_libur_nasional,bulan,kuartal,is_weekend,is_awal_bulan,bulan_sin,bulan_cos,minggu_sin,minggu_cos,is_pra_lebaran,is_lebaran,is_pasca_lebaran,is_natal_tahunbaru,is_musim_panen,days_to_lebaran,lag_1,lag_7,lag_14,lag_21,lag_30,rawit_lag_1,rawit_lag_7,rawit_lag_14,rawit_lag_30,rasio_merah_rawit,roll_mean_7,roll_std_7,ema_7,zscore_7,roll_mean_30,roll_std_30,ema_30,zscore_30,ema_crossover_7_30,momentum_7,momentum_3,rasio_tren_7_30,volatilitas_14,lag_hujan_14,lag_hujan_21,roll_hujan_14,roll_hujan_21,roll_hujan_30,roll_hujan_60,hujan_ekstrem_3hari,max_hujan_7,is_hari_hujan,pct_change_1,pct_change_3,pct_change_7,arah_lag1,arah_lag2,arah_lag3,streak_naik_3,prop_naik_7,prop_naik_14,is_pasca_covid,harga_hari_ini,target_h1,target_h3,target_h7,arah_target_h1,arah_target_h3,arah_target_h7,harga_rawit_hari_ini,target_rawit_h1,target_rawit_h3,target_rawit_h7
2022-02-02,25500.0,45750.0,29.3,77.0,5.2,6.9,1.0,0,2,1,0,1,0.8660254037844386,0.5000000000000001,0.5680647467311558,0.8229838658936564,0,0,0,0,0,89,26500.0,24750.0,26250.0,34500.0,42500.0,46250.0,49000.0,51750.0,55500.0,0.5573770491803278,26964.285714285714,1193.982930403498,26857.00304568718,-1.2263874775651988,32450.0,6959.364814456105,31190.73293732537,-0.9986543578737763,-4333.7298916381915,1750.0,-1000.0,0.8309487123046445,0.042477451268599746,5.2,5.2,72.8,109.2,156.0,161.20000000000002,0,5.2,1,0.0,-3.6363636363636376,7.070707070707072,0.0,-1.0,0.0,0,0.14285714285714285,0.07142857142857142,1,25500.0,0.03846628082779614,0.0,0.24256163717131127,1.0,0.0,1.0,45750.0,0.0,-0.010989121575595206,-0.13431233760759406
2022-02-03,26500.0,45750.0,29.3,77.0,5.2,6.9,1.0,0,2,1,0,1,0.8660254037844386,0.5000000000000001,0.5680647467311558,0.8229838658936564,0,0,0,0,0,88,25500.0,28500.0,26250.0,34500.0,42500.0,45750.0,48000.0,56000.0,58000.0,0.5792349726775956,27071.428571428572,975.9000729483741,26517.752284265385,-0.5855400437632163,31883.333333333332,6803.18552836341,30823.588876852766,-0.7912959761102453,-4305.83659258738,-3000.0,-2000.0,0.8490777387797775,0.04351270086625404,5.2,5.2,72.8,109.2,156.0,166.4,0,5.2,1,-3.7735849056603765,-7.272727272727275,3.0303030303030276,-1.0,0.0,-1.0,0,0.14285714285714285,0.07142857142857142,1,26500.0,-0.03846628082779605,-0.03846628082779605,0.3063742054639334,0.0,0.0,1.0,45750.0,-0.010989121575595206,-0.010989121575595206,-0.28223246768421634
2022-02-04,25500.0,45250.0,29.3,77.0,5.2,6.9,1.0,0,2,1,0,1,0.8660254037844386,0.5000000000000001,0.5680647467311558,0.8229838658936564,0,0,0,0,0,87,26500.0,27500.0,26250.0,34500.0,42500.0,45750.0,47500.0,53500.0,62250.0,0.56353591160221,26785.714285714286,755.9289460182416,26513.31421319904,-1.700840128519502,31350.0,6565.190335240178,30544.647658991296,-0.8910632748284328,-4031.3334457922574,-1000.0,0.0,0.8544087491455913,0.04350026961776736,5.2,5.2,72.8,109.2,156.0,171.6,0,5.2,1,3.9215686274509887,0.0,-7.017543859649122,1.0,-1.0,0.0,1,0.14285714285714285,0.14285714285714285,1,25500.0,0.0,0.16251892949777494,0.3448404862917296,0.0,1.0,1.0,45250.0,0.0,-0.1746165104195494,-0.271243346108621
2022-02-05,25500.0,45250.0,29.3,77.0,5.2,6.9,1.0,0,2,1,1,1,0.8660254037844386,0.5000000000000001,0.5680647467311558,0.8229838658936564,0,0,0,0,0,86,25500.0,27500.0,26250.0,34500.0,42500.0,45250.0,47500.0,53500.0,63250.0,0.56353591160221,26500.0,816.4965809275218,26259.985659899277,-1.2247448713768954,30783.333333333332,6297.828489103282,30219.186519701536,-0.8389134989094014,-3959.2008598022585,-2000.0,-1000.0,0.860855441256091,0.04445142456250055,5.2,5.2,72.8,109.2,156.0,176.8,0,5.2,1,-3.7735849056603765,-3.7735849056603765,-7.272727272727275,-1.0,1.0,-1.0,1,0.14285714285714285,0.14285714285714285,1,25500.0,0.0,0.22705745063534608,0.3448404862917296,0.0,1.0,1.0,45250.0,0.0,-0.08650924290928252,-0.271243346108621
2022-02-06,25500.0,45250.0,29.3,77.0,5.2,6.9,1.0,0,2,1,1,1,0.8660254037844386,0.5000000000000001,0.5680647467311558,0.8229838658936564,0,0,0,0,0,85,25500.0,27500.0,26250.0,34500.0,42500.0,45250.0,47500.0,53500.0,62250.0,0.56353591160221,26214.285714285714,755.9289460182265,26069.989244924458,-0.9449111825108523,30216.666666666668,5963.153142616652,29914.72287326918,-0.7909685620767185,-3844.733628344722,-2000.0,0.0,0.8675439287684185,0.045291081365784754,5.2,5.2,72.8,109.2,156.0,182.0,0,5.2,1,0.0,0.0,-7.272727272727275,0.0,-1.0,1.0,1,0.14285714285714285,0.14285714285714285,1,25500.0,0.16251892949777494,0.24256163717131127,0.3448404862917296,1.0,1.0,1.0,45250.0,-0.1746165104195494,-0.12332321603199886,-0.271243346108621
2022-02-07,30000.0,38000.0,29.3,77.0,5.2,6.9,1.0,0,2,1,0,1,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,0,0,0,0,0,84,25500.0,26500.0,24750.0,30750.0,42500.0,45250.0,46250.0,51000.0,62250.0,0.7894736842105263,25928.571428571428,534.5224838245167,25927.491933693345,7.616945394366328,29650.0,5548.998045624528,29629.902042735685,0.06307445003974183,-3702.410109042339,-1000.0,-1000.0,0.8744880751626114,0.04602421206138457,5.2,5.2,72.8,109.2,156.0,187.20000000000002,0,5.2,1,0.0,-3.7735849056603765,-7.272727272727275,0.0,0.0,-1.0,0,0.14285714285714285,0.14285714285714285,1,30000.0,0.06453852113757116,0.1823215567939546,0.23638877806423034,1.0,1.0,1.0,38000.0,0.0881072675102668,-0.09662683568907164,-0.08223809823697212
2022-02-08,32000.0,41500.0,29.3,77.0,5.2,6.9,1.0,0,2,1,0,0,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,0,0,0,0,0,83,30000.0,26500.0,24750.0,26250.0,42500.0,38000.0,46250.0,49000.0,62250.0,0.7710843373493976,26428.571428571428,1643.8920136008376,26945.618950270007,3.389169437711929,29233.333333333332,4992.206569922924,29653.779330301128,0.5541971526838965,-2708.1603800311204,3500.0,4500.0,0.9040560351848835,0.05650328487093553,5.2,5.2,72.8,109.2,156.0,192.4,0,5.2,1,17.647058823529417,17.647058823529417,13.207547169811317,1.0,0.0,0.0,1,0.2857142857142857,0.21428571428571427,1,32000.0,0.015504186535965254,0.11778303565638346,0.25995752443692605,1.0,1.0,1.0,41500.0,-0.036813973122716316,-0.18473410319933853,-0.21414798840563182
2022-02-09,32500.0,40000.0,29.3,77.0,5.2,6.9,1.0,0,2,1,0,0,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,0,0,0,0,0,82,32000.0,25500.0,24750.0,26250.0,42500.0,41500.0,45750.0,49000.0,61000.0,0.8125,27214.285714285714,2674.83866892222,28209.214212702507,1.976087136434405,28883.333333333332,4357.778090387058,29805.148405765573,0.8299336477542243,-1595.9341930630653,6500.0,6500.0,0.9422141620641332,0.07361728416057345,5.2,5.2,72.8,109.2,156.0,197.6,0,5.2,1,6.666666666666665,25.49019607843137,20.75471698113207,1.0,1.0,0.0,2,0.42857142857142855,0.2857142857142857,1,32500.0,0.10227884912041825,0.10227884912041825,0.23233197736861597,1.0,1.0,1.0,40000.0,-0.1479201300766222,-0.1479201300766222,-0.16251892949777494
2022-02-10,36000.0,34500.0,29.3,77.0,5.2,6.9,1.0,0,2,1,0,0,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,0,0,0,0,0,81,32500.0,26500.0,28500.0,26250.0,34500.0,40000.0,45750.0,48000.0,56750.0,1.0434782608695652,28214.285714285714,3186.653715853298,29281.910659526882,2.443225709450848,28550.0,3596.2144848006014,29979.00979894199,2.0716228221277415,-697.099139415106,6000.0,7000.0,0.9882411808856643,0.08466988225425064,5.2,5.2,72.8,109.2,156.0,202.8,0,5.2,1,1.5625,27.450980392156854,27.450980392156854,1.0,1.0,1.0,3,0.5714285714285714,0.35714285714285715,1,36000.0,0.0,0.0,0.0408219945202552,0.0,0.0,1.0,34500.0,0.0,0.0,-0.02941388520629334
2022-02-11,36000.0,34500.0,29.3,77.0,5.2,6.9,1.0,0,2,1,0,0,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,0,0,0,0,0,80,36000.0,25500.0,27500.0,26250.0,34500.0,34500.0,45250.0,47500.0,57250.0,1.0434782608695652,29571.428571428572,4197.504927816929,30961.43299464516,1.5315220682538981,28600.0,3690.972210958648,30367.460779655412,2.0048918217289873,593.9722149897498,10500.0,6000.0,1.033966033966034,0.11491136132877215,5.2,5.2,72.8,109.2,156.0,208.0,0,5.2,1,10.769230769230775,19.999999999999996,35.849056603773576,1.0,1.0,1.0,3,0.5714285714285714,0.35714285714285715,1,36000.0,0.0,0.05406722127027579,0.0408219945202552,0.0,1.0,1.0,34500.0,0.0,0.01438873745209967,-0.04445176257083381
